     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2048,         1,         0,   0.024,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}","{""obs_mistake_mask=E"":1}"
     18432,        64,         0,   0.075,pymatching,849d68d2aae0742c7eb87cd4e60d6f3daf52eefd4b69764cfba18626d9a3b899,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":64}"
      1024,       220,         0,   0.031,pymatching,f6a95ecc40c11093afa644aac629b466c70cd172ac857505e6c9f4ebcb480f2c,"{""d"":3,""p"":0.004641588833612777,""r"":3}","{""obs_mistake_mask=E"":220}"
      1297,         0,         0,   0.020,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      9216,       143,         0,   0.043,pymatching,cc68fe9d5eeb0b380df195e77fe345f7d7592c717e43cb0f856fa6bf73fe20e3,"{""d"":3,""p"":0.001,""r"":3}","{""obs_mistake_mask=E"":143}"
      2048,         0,         0,   0.024,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
      1024,       229,         0,   0.019,pymatching,f6a95ecc40c11093afa644aac629b466c70cd172ac857505e6c9f4ebcb480f2c,"{""d"":3,""p"":0.004641588833612777,""r"":3}","{""obs_mistake_mask=E"":229}"
      2048,         0,         0,   0.023,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      2048,         0,         0,   0.022,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      3072,         0,         0,   0.036,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
     25600,         2,         0,   0.074,pymatching,a8c4d6b6c78cc7050c7b8f8ba37d92ce0e84753760df9864165fe3505fc9b0f0,"{""d"":3,""p"":0.0001,""r"":3}","{""obs_mistake_mask=E"":2}"
     38912,        19,         0,   0.103,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":19}"
      1024,       499,         0,   0.113,pymatching,e775ba250b664ac6c79a934a73488a2dff9561b51a8644e78224abf58665825c,"{""d"":3,""p"":0.046415888336127774,""r"":3}","{""obs_mistake_mask=E"":499}"
      3072,         0,         0,   0.034,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      3072,         0,         0,   0.038,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
       273,       155,         0,   0.042,pymatching,31c5769f005c4580000014fb2cf6f5dc3a14c2dec8590a3218c88dfade044741,"{""d"":3,""p"":0.1,""r"":3}","{""obs_mistake_mask=E"":155}"
     26624,        93,         0,   0.105,pymatching,849d68d2aae0742c7eb87cd4e60d6f3daf52eefd4b69764cfba18626d9a3b899,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":93}"
      4096,         0,         0,   0.045,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      1297,         0,         0,   0.022,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}",
       273,         1,         0,   0.010,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":1}"
      1024,         0,         0,   0.016,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}",
      5120,         0,         0,   0.062,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
     35840,         4,         0,   0.105,pymatching,a8c4d6b6c78cc7050c7b8f8ba37d92ce0e84753760df9864165fe3505fc9b0f0,"{""d"":3,""p"":0.0001,""r"":3}","{""obs_mistake_mask=E"":4}"
      1024,         2,         0,   0.025,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":2}"
      2048,         1,         0,   0.033,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}","{""obs_mistake_mask=E"":1}"
      5120,         0,         0,   0.057,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      1024,         2,         0,   0.024,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":2}"
     54272,        45,         0,   0.143,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":45}"
      2048,         0,         0,   0.033,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}",
      6144,         0,         0,   0.076,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
       273,         8,         0,   0.018,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":8}"
      2048,         1,         0,   0.050,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":1}"
     32768,       118,         0,   0.145,pymatching,849d68d2aae0742c7eb87cd4e60d6f3daf52eefd4b69764cfba18626d9a3b899,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":118}"
      1024,       522,         0,   0.160,pymatching,31c5769f005c4580000014fb2cf6f5dc3a14c2dec8590a3218c88dfade044741,"{""d"":3,""p"":0.1,""r"":3}","{""obs_mistake_mask=E"":522}"
      3072,         1,         0,   0.053,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}","{""obs_mistake_mask=E"":1}"
      7168,         0,         0,   0.083,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      1024,        25,         0,   0.055,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":25}"
      2048,         4,         0,   0.052,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":4}"
        17,        11,         0,   0.013,pymatching,30338a2d09b50dda8264a39d0cd67716c086cf52a996c4c57c540892a182d80d,"{""d"":5,""p"":0.021544346900318822,""r"":5}","{""obs_mistake_mask=E"":11}"
     55296,         5,         0,   0.145,pymatching,a8c4d6b6c78cc7050c7b8f8ba37d92ce0e84753760df9864165fe3505fc9b0f0,"{""d"":3,""p"":0.0001,""r"":3}","{""obs_mistake_mask=E"":5}"
     23552,        81,         0,   0.075,pymatching,849d68d2aae0742c7eb87cd4e60d6f3daf52eefd4b69764cfba18626d9a3b899,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":81}"
      4096,         0,         0,   0.066,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}",
       273,        45,         0,   0.032,pymatching,95d11f0224b6f555d950581649f33e132d4d7ebfacf59953e5698d3f40a1fa4d,"{""d"":5,""p"":0.004641588833612777,""r"":5}","{""obs_mistake_mask=E"":45}"
       273,       128,         0,   0.081,pymatching,cba9806d10218052d0725028e9d8a21436d8594a3920517cb5a0e7f4e363fe40,"{""d"":5,""p"":0.01,""r"":5}","{""obs_mistake_mask=E"":128}"
      1024,        38,         0,   0.051,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":38}"
      9216,         0,         0,   0.113,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
      3072,         5,         0,   0.078,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":5}"
      9216,         0,         0,   0.108,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      5120,         1,         0,   0.082,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}","{""obs_mistake_mask=E"":1}"
     76800,        59,         0,   0.203,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":59}"
      3072,         8,         0,   0.076,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":8}"
      1024,       179,         0,   0.116,pymatching,95d11f0224b6f555d950581649f33e132d4d7ebfacf59953e5698d3f40a1fa4d,"{""d"":5,""p"":0.004641588833612777,""r"":5}","{""obs_mistake_mask=E"":179}"
      1024,        24,         0,   0.117,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":24}"
     12288,         0,         0,   0.146,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
       256,       115,         0,   0.198,pymatching,30338a2d09b50dda8264a39d0cd67716c086cf52a996c4c57c540892a182d80d,"{""d"":5,""p"":0.021544346900318822,""r"":5}","{""obs_mistake_mask=E"":115}"
        17,         9,         0,   0.019,pymatching,b1cbe4cc35f33efa50578ba48cbf3b3f7657ac0abc223453e4bca0bb755db11f,"{""d"":5,""p"":0.046415888336127774,""r"":5}","{""obs_mistake_mask=E"":9}"
     70656,         7,         0,   0.200,pymatching,a8c4d6b6c78cc7050c7b8f8ba37d92ce0e84753760df9864165fe3505fc9b0f0,"{""d"":3,""p"":0.0001,""r"":3}","{""obs_mistake_mask=E"":7}"
      1024,        35,         0,   0.062,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":35}"
      7168,         3,         0,   0.112,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}","{""obs_mistake_mask=E"":3}"
     12288,         0,         0,   0.162,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      1024,       216,         0,   0.120,pymatching,95d11f0224b6f555d950581649f33e132d4d7ebfacf59953e5698d3f40a1fa4d,"{""d"":5,""p"":0.004641588833612777,""r"":5}","{""obs_mistake_mask=E"":216}"
      5120,         7,         0,   0.122,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":7}"
      1024,        25,         0,   0.058,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":25}"
        17,        11,         0,   0.023,pymatching,7e55582de7f315999daf350197c0b84e7781f860c78ce0db5e7d12aff639a14d,"{""d"":5,""p"":0.1,""r"":5}","{""obs_mistake_mask=E"":11}"
      1024,        41,         0,   0.089,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":41}"
      1024,       188,         0,   0.119,pymatching,95d11f0224b6f555d950581649f33e132d4d7ebfacf59953e5698d3f40a1fa4d,"{""d"":5,""p"":0.004641588833612777,""r"":5}","{""obs_mistake_mask=E"":188}"
      9216,         2,         0,   0.174,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}","{""obs_mistake_mask=E"":2}"
     17408,         0,         0,   0.212,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}",
    106496,        82,         0,   0.282,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":82}"
      1024,       484,         0,   0.374,pymatching,cba9806d10218052d0725028e9d8a21436d8594a3920517cb5a0e7f4e363fe40,"{""d"":5,""p"":0.01,""r"":5}","{""obs_mistake_mask=E"":484}"
       256,       124,         0,   0.219,pymatching,b1cbe4cc35f33efa50578ba48cbf3b3f7657ac0abc223453e4bca0bb755db11f,"{""d"":5,""p"":0.046415888336127774,""r"":5}","{""obs_mistake_mask=E"":124}"
      7168,        15,         0,   0.171,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":15}"
